"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"4","BCI","island",0.641853886172395,1.579,0.842,0.735655411254181,0.720430923746645,1,1542.5,79,21,54,0.539
"5","BCI","island",0.641853886172395,1.579,0.697,0.735655411254181,0.720430923746635,1,1542.5,79,21,54,0.472
"7","BCI","island",0.641853886172395,1.579,0.805,0.735655411254178,0.720430923746641,1.37314803683466,1542.5,79,21,54,0.383
"17","BCI","island",0.641853886172395,1.579,0.775,0.73565541125418,0.720430923746642,1.88988157484231,1542.5,79,21,54,0.476
"25","BCI","island",0.641853886172395,1.579,0.692,0.735655411254175,0.720430923746644,1.84671807371802,1542.5,79,21,54,0.534
"26","BCI","island",0.641853886172395,1.579,0.702,0.73565541125418,0.72043092374664,1.31152341404742,1542.5,79,21,54,0.481
"30","BCI","island",0.641853886172395,1.579,0.751,0.735655411254178,0.720430923746642,1,1542.5,79,21,54,0.494
"34","BCI","island",0.641853886172395,1.579,0.779,0.735655411254178,0.720430923746642,1,1542.5,79,21,54,0.518
"35","BCI","island",0.641853886172395,1.579,0.735,0.735655411254178,0.720430923746642,1,1542.5,79,21,54,0.621
"49","MG","island",0.314810739840034,1.14,0.674,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.926
"51","MG","island",0.314810739840034,1.14,0.773,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.959
"52","MG","island",0.314810739840034,1.14,0.813,-1.90037331592179,-0.304457395438814,1.26450012825427,5.2,79,11,35,0.889
"58","MG","island",0.314810739840034,1.14,0.785,-1.90037331592179,-0.304457395438814,3.1803385212362,5.2,79,11,35,0.709
"61","MG","island",0.314810739840034,1.14,0.781,-1.90037331592179,-0.304457395438814,1.14626816149146,5.2,79,11,35,0.763
"67","GIG1","continuous.forest",0.262364264467491,1.122,0.773,2.51152348901328,1.99233509129573,2.24647881006927,2693.8,92,17,48,0.784
"69","GIG1","continuous.forest",0.262364264467491,1.122,0.775,2.51152348901328,1.99233509129573,1.23931543072907,2693.8,92,17,48,0.891
"72","GIG1","continuous.forest",0.262364264467491,1.122,0.768,2.51152348901328,1.99233509129573,2.08677944009772,2693.8,92,17,48,0.976
"76","GIG1","continuous.forest",0.262364264467491,1.122,0.756,2.51152348901328,1.99233509129573,1.88988157484231,2693.8,92,17,48,0.848
"78","GIG1","continuous.forest",0.262364264467491,1.122,0.757,2.51152348901328,1.99233509129573,1.48984287496775,2693.8,92,17,48,0.959
"84","GIG1","continuous.forest",0.262364264467491,1.122,0.813,2.51152348901328,1.99233509129573,1.41741118113173,2693.8,92,17,48,0.853
"85","GIG1","continuous.forest",0.262364264467491,1.122,0.75,2.51152348901328,1.99233509129573,1.27753191707406,2693.8,92,17,48,0.964
"89","TA","island",0.438254930931155,1.229,0.729,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.915
"99","TA","island",0.438254930931155,1.229,0.807,-1.63366236665128,-0.550819187938405,1.19867463162676,6.9,76,12,46,0.975
"178","PB","continuous.forest",0.631271776841858,1.44,0.713,1.36840431018065,1.65307718982475,1.82299892907769,1036.5,88,19,37,0.907
"188","PB","continuous.forest",0.631271776841858,1.44,0.894,1.36840431018065,1.65307718982475,1.36116192327744,1036.5,88,19,37,0.928
"198","GU","island",0,1,0.796,-1.23525231857971,-0.828987259231511,1.45517070351509,5.9,83,11,47,0.98
"207","GU","island",0,1,0.732,-1.23525231857971,-0.828987259231511,1,5.9,83,11,47,0.455
"254","GU","island",0,1,0.7,-1.23525231857971,-0.828987259231511,1.63158493250734,5.9,83,11,47,0.702
"255","GU","island",0,1,0.666,-1.23525231857971,-0.828987259231511,2.74787839590926,5.9,83,11,47,0.737
"258","GU","island",0,1,0.806,-1.23525231857971,-0.828987259231511,1.30445467039574,5.9,83,11,47,0.765
"263","GU","island",0,1,0.805,-1.23525231857971,-0.828987259231511,1.99464842891259,5.9,83,11,47,0.757
"266","GU","island",0,1,0.778,-1.23525231857971,-0.828987259231511,1.6555386344014,5.9,83,11,47,0.84
"292","AS4","forest.fragment",1.69561560867515,4.554,0.814,-1.33097035185975,-1.95917861077991,1,1.5,72,7,54,0.56
"299","FR","continuous.forest",0.978326122793608,1.703,0.84,0.732388637130749,0.467387370602807,1.97512065552405,516.2,81,15,57,0.944
"303","FR","continuous.forest",0.978326122793608,1.703,0.753,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.908
"307","FR","continuous.forest",0.978326122793608,1.703,0.814,0.732388637130749,0.467387370602807,1.8457200132751,516.2,81,15,57,0.973
"308","FR","continuous.forest",0.978326122793608,1.703,0.731,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.933
"309","FR","continuous.forest",0.978326122793608,1.703,0.791,0.732388637130749,0.467387370602807,1.63158493250734,516.2,81,15,57,0.931
"323","FR","continuous.forest",0.978326122793608,1.703,0.837,0.732388637130749,0.467387370602807,1,516.2,81,15,57,0.845
"334","PH","island",0.3293037471426,1.171,0.761,-1.54776712978603,-0.0687711514832324,2.37135655750014,9.1,82,13,31,0.908
"335","PH","island",0.3293037471426,1.171,0.776,-1.54776712978603,-0.0687711514832324,2.82484095091102,9.1,82,13,31,0.799
